Sarcastic	🤣😂😂 ہو لینے دے میری شادی فسادن ٹھیک ہے کوجی نہیں چاہیے 😐😐😐🤣
Sarcastic	چل مہمانوں میں کھانا سرو کر چڑیل چاچی نوں دسدی آں میں😂😂
Non-Sarcastic	کامران خان آپکی دن بھریہ زمہ داری لگائی گئی اپوزیشن کی کردار کشی اوراس پربھونکناہےآپ خوشامدگری وچاپلوسی سےاورکتنی دولت کماناچاہتےہیں موٹرسائیکل سےپیجارو پراڈو تک کےسفرمیں ضمیرکی لاش سےاٹھتی بدبوآپ کی ناک بند نہیں کرتی ہے 🙏نوٹ آپ سب سےالتجاگزارش ہےہمیں بھی فالوکریں شکریہ
Non-Sarcastic	نہیں پائین 😎
Sarcastic	`` مراد علی شاہ کے بھیس میں ڈی جی آئی ایس آئی تھے '' حامد میر😁
Sarcastic	قابل اعتبار ہی اکثر قاتل اعتبار ہوتے ہیں 💔🔥
Non-Sarcastic	انساں کو تھکا دیتا ہے سوچوں کا سفر بھی ... 🍁🥀
Non-Sarcastic	حامد میر صاحب ویلڈن👏😊
Sarcastic	یار وچارہ ویلا ہوندا ہے اس آرے لگا ہویا ہے😂😂 تسی تے پکے نجومی ہو اسی منندے ہاں
Sarcastic	یہ سمجھتے ہیں سارا پاکستان بیوقوف ھے 😂😂😂
Non-Sarcastic	تسی لڑاںٔی کروانی ساڈی کی 😂😂😂
Non-Sarcastic	پائن دوبارہ فالو کرئیے..؟؟😆🙄
Sarcastic	کتنی مہنگائی ہے الو دوسو روپے درجن کدو 80روپے گز 😭😭😭 ISPR
Sarcastic	😍عشق جب تم کو راس آۓ گا 💔زخم کھاٶ گے 😊مُسکراٶ گے
Non-Sarcastic	چونا ایسا ہی ہوتا 😂
Non-Sarcastic	خاتم_النبیین_محمدﷺ Surat 73 سورة المزمل Ayt 20 حصہ5 ترجمہ اور کچھ اللہ کی راہ میں لڑتے ہوں گے تو جتنا قرآن میسر ہو پڑھواورنماز قائم رکھواورزکوٰة دواور اللہ کو اچھا قرض دو 🌹🌹 درود_وقرآن صَلَّی اللہُ عَلٰی حَبِیْبِہٖ سیِّدِنَا مُحَمَّدٍ وَّآلِہٖ وَصَحْبِہٖ وَسَلَّمْ
Sarcastic	اب بس بھی کرو بیچارے کی پہلے ہی دو بیویاں ہیے کیا اپ نے تیسری کے لیے ٹرائ کرنا ہے 😜
Sarcastic	پتہ نہیں کیا ہورہا ہے سی سی کی بورڈ کو زنگ لگ گیا ہے😭😭
Non-Sarcastic	اللہ آپ کو اپنی رحمتوں کے سائے میں رکھے اور مکمل صحت یاب فرمائے 🙏
Non-Sarcastic	آرمی چیف کا نوٹس۔ اب مجرم اپنے جرائیم پر خود نوٹس لیا کرےگا۔ 🤔😥😥
Sarcastic	کھوتی دیا بچیا،تیری عزت کیتی اے،تیری قدر کیتی اے۔شکر کر تیری بونڈ نئیں ماری۔ جے تیری بونڈ ماری ہوندی تے تینوں پٹھاناں دے ہتھے چاڑ دینا سی۔ تے پین یکا 💦
Sarcastic	فوج سیاست سے دور رہے۔ بلاول زرداری فوج کراچی واقعے کا نوٹس لے۔ بلاول زرداری 😂
Non-Sarcastic	شکریہ لڑکی 😍جیتی رہ 😂
Non-Sarcastic	صدائیں درودوں کی آتی رہینگی جنہیں سن کر دل شاد ہوتا رہے گا، خدا اہلسنت کو آباد رکھے محمد کا میلاد ہوتا رہیگا ❤️ﷺ ❤️ Eide…
Sarcastic	یہ ووٹ کی بجائے ووٹر کو عزّت دیں ✌️
Sarcastic	2004 میں ایک نشئی نے کہا تھا کہ ... .. اگر اسٹیبلشمنٹ چاہیے تو کتا بھی وزیراعظم بن سکتا ہے 2018 میں ہم نے کتے کو PMبنتے دیکھ ہی لیا😂😂
Non-Sarcastic	مشکل ہے لیکن ناممکن نہیں اگر کامران صاحب کوشش کریں تو ۔۔؟😆
Non-Sarcastic	میں نے پورے دو ہفتے سے سالن روٹی نہیں کھایا ہے 😕😕کوئی حال نہیں میرا 😐
Sarcastic	تو رہنے دے پھر 😂😂
Sarcastic	وھ کوئی بھی ھو بیشک میں ھے ھو وہ 🐕 کیمنا حرام زیادہ ھو جو حق کی بات نہیں کرتا کامران خان تم نے کتنا پیسا لیا
Non-Sarcastic	میں ماضی کی انتہائی بے وقوف اور حال کی سمجھدار لڑکی ہوں😌🥀 مریم نواز بزدارکی_پرواز_بلاول_بیک…
Non-Sarcastic	آمین ثمہ آمین 😍
Sarcastic	جیتھے دی کھوتی وتھے آ کھلوتی 😜😜😜
Sarcastic	یہ اسمبلی بغیر ڈیزل کے چل رہی ہے کیونکہ اِسکو گدھا '' چلا رہا ھے گدھے کو ڈیزل کی نہیں `` ڈنڈے '' کی ضرورت ہوتی ہے 🤣😂😂😂
Non-Sarcastic	عجیب بات کی کامران خان صاحب نے۔ پنگا بھی ان سے لے رہے جن کے ابھی بھی دو گولیاں محو رقص ہیں۔ انہیں پتہ ہونا چاہیئے کہ آپ کی کوئ بھی خبر غلط ہو ہی نہیں سکتی 😏😏😏
Non-Sarcastic	گڈ ناٸیٹ😁
Sarcastic	دروازے پر بہت اتارتے تھے پہلے اب تو خود کو ہی تھپڑ لگاتے 😂😂😂😂
